page_name,fspageid,editors,title,page_number,fileid
2012 Volume 18 Issue 1,170,Paul McPhee,Export Driven Regional Development: A Comparison of Policies Based on Tiber-Vipraio-Hodgkinson  Innovation Strategies and Networked Information Flows   ,1,474
2012 Volume 18 Issue 1,170,Matthew Campbell- Ellis,"Adaptive Regions, Deliberative Power Spaces and the Sustainable Development Platform Method     ",26,475
2012 Volume 18 Issue 1,170,Paul Dalziel,Well-being Economics and Regional Science ,60,476
2012 Volume 18 Issue 1,170,Andrew Sense,Building Regional Adaptive Capability through a  Local Government Insider-Researcher Network ,83,477
2012 Volume 18 Issue 1,170,Paul Dalziel and Caroline Saunders,Regional Development Beofre and After an Earthquake: The Canterbury New Zealand  Experience    ,100,478
2012 Volume 18 Issue 1,170,"Choi Hyunsu, Dai Nakagawa, Ryoji Matsunaka and Tetsuharu Oba",International Research on the Relationship between Urban Structure and Transportation Energy Consumption According to Economic Level       ,128,479
2012 Volume 18 Issue 1,170,John Tomaney,Is there a Place for Regional Policy in Australia ,150,480
2013 Vol 19 No 1,176,Tony Sorensen and Sonya Glavac,Note from the Editors,,514
2013 Vol 19 No 1,176,Kingsley Haynes and Paul Dalziel ,"Citation for Professor Robert Stimson, ANZRSAI Distinguished Service Award?3?",3,517
2013 Vol 19 No 1,176,Mario Polase,On the Growth Dynamics of Cities and Regions Seven ?Lessons. A Canadian Perspective with Thoughts on Regional Australia.,5,520
2013 Vol 19 No 1,176,Tan Yigitcanlar and Fatih Dur ,Making Space and Place for Knowledge Communities: Lesson for Australian Practice ,36,521
2013 Vol 19 No 1,176,"Jonathon Boymal, Ashton de Silva and Jessie Pomeroy ",Quantity and Quality Estimates of Changes in Dwelling ?Affordability in Metropolitan Melbourne ,64,516
2013 Vol 19 No 1,176,Fang Huang and John Rice ,Does Open Innovation Work Better in Regional Clusters?,85,518
2013 Vol 19 No 1,176,Mark M. Miller and James E. Rowe?,Nunavut: a Potential New Model for Economic Development,121,519
2013 Vol 19 No 2,177,Tony Sorensen and Sonya Glavac,Note from the Editors,154,527
2013 Vol 19 No 2,177,Richard Hu,Drivers of China's Urbanisation and Property Development,156,531
2013 Vol 19 No 2,177,"Mark Morrison, Jodie Kleinschafer and John Hicks",Improving Consumers Responsiveness to Electricity Demand Management Initiatives in Regional New South Wales: the Potential Use of Behavioural-Based Constructs for Identifying Market Segments,181,532
2013 Vol 19 No 2,177,"John Rolfe, Susan Kinnear and Rebecca Gowen",Simplified Assessment of the Regional Economic Impacts of Interruption to Transport Corridors with Application to the 2011 Queensland Floods,215,534
2013 Vol 19 No 2,177,"Deeptha Wijerathna, Jayatilleke S. Bandara and Kamal Karunagoda",How Useful is a Regional SAM in Evaluating Regional Projects in Sri Lanka? An Illustration for Post-War Regional Development Policy Analysis,239,535
2013 Vol 19 No 2,177,"David Pickernell, Robyn Keast, Kerry Brown, Nina Yousefpour and Chris Miller","Taking the Gamble: Local and Regional Policy Issues of Access to Electronic Gaming Machines (EGMs): a Case Study of Victoria, Australia",274,533
2013 Vol 19 No 2,177,Ameeta Jain and Jerry Courvisanos,"Home Based Business in Suburban Peripheral Regions and Government Policy: a Case Study of Casey, Melbourne, Australia",295,529
2013 Vol 19 No 3,179,Tony Sorensen and Sonya Glavac,Note from the Editors,319,543
2013 Vol 19 No 3,179,"Yuejen Zhao, John R. Condon, Shu Qin Li, Steven Guthridge and Ramakrishna Chondur",Indigenous Patient Migration Patterns after Hospitalisation and the Potential Impacts on Mortality Estimates,321,552
2013 Vol 19 No 3,179,"Karen Becker, Paul Hyland and Claudine Soosay  ",Labour Attraction and Retention in Rural and Remote Queensland Communities,342,545
2013 Vol 19 No 3,179,Boyd Dirk Blackwell and Brian Dollery ,Income Factor Shares from Mining in Remote Australia: an Analysis of the Ranger Uranium Mine and the Tanami Gold mine in the Northern Territory,369,546
2013 Vol 19 No 3,179,"Natalie Stoeckl, Michelle Esparon, Marina Farr, Aurelie Delisle and Owen Stanley",Distributional and Consumptive Water Demand Impacts of Different Types of Economic Growth in Two Northern? Australian River Catchments,396,551
2013 Vol 19 No 3,179,"Renato Garcia, Veneziano Araujo and Suelene Mascarini ",The Role of Geographic Proximity for University-Industry Linkages in Brazil: an Empirical Analysis ,433,550
2013 Vol 19 No 3,179,"Subas P. Dhakal, Muhammad N. Mahmood, Anna Wiewora, Kerry Brown and Robyn Keast ",The Innovation Potential of Living-Labs to Strengthen Small and Medium Enterprises in Regional Australia,456,547
